ID,IMAG1,IMAG2,IMAG3,IMAG4,IMAG5,EXPE1,EXPE2,EXPE3,QUAL1,QUAL2,QUAL3,QUAL4,QUAL5,QUAL6,QUAL7,QUAL8,QUAL9,VALU1,VALU2,SATI1,SATI2,SATI3,LOYA1,LOYA2
#NAME?,10,9,9,9,10,8,8,8,8,8,7,8,NA,8,8,9,9,7,7,8,7,7,7,7
#NAME?,10,10,8,9,9,8,9,9,7,9,6,9,9,10,10,10,10,9,9,10,10,10,10,10
#NAME?,8,9,7,7,8,7,8,7,8,8,10,8,7,8,7,7,7,6,6,8,6,7,5,4
#NAME?,8,10,6,7,9,8,8,7,8,9,7,9,6,8,8,8,8,5,7,7,7,8,9,9
#NAME?,6,7,6,5,6,6,5,5,6,6,6,6,6,6,6,5,6,5,5,7,6,5,6,6
#NAME?,6,9,7,7,9,8,8,7,7,8,7,7,7,7,6,8,7,5,6,6,7,6,7,5
#NAME?,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8
#NAME?,5,10,5,5,10,10,5,2,5,5,5,10,10,10,10,2,2,3,10,5,5,5,10,5
#NAME?,4,8,6,1,5,5,1,1,3,1,1,1,6,1,7,1,5,1,1,8,1,2,1,1
#NAME?,8,9,7,8,9,9,8,NA,10,8,8,8,8,8,8,8,9,NA,NA,8,10,8,9,9
#NAME?,5,10,5,4,7,5,4,7,7,8,2,7,7,8,2,5,4,4,5,5,7,6,5,5
#NAME?,9,9,9,6,9,8,9,9,9,9,7,10,9,10,9,9,9,7,8,6,8,8,7,7
#NAME?,8,8,8,8,8,8,7,7,8,7,7,7,8,NA,NA,7,NA,7,7,8,8,5,NA,5
#NAME?,9,10,9,9,10,8,8,8,8,9,8,9,9,8,7,9,7,5,9,8,8,8,9,9
#NAME?,9,9,9,8,10,10,10,8,8,9,9,9,8,10,10,10,9,8,9,8,10,9,10,10
#NAME?,7,10,9,8,9,9,6,6,8,8,8,NA,NA,8,8,8,8,7,8,7,7,7,7,8
#NAME?,7,7,3,3,6,4,5,5,7,8,8,7,6,7,6,8,6,5,5,7,5,6,7,7
#NAME?,9,9,9,10,10,3,8,9,10,10,10,9,9,8,9,10,10,9,9,9,9,9,9,10
#NAME?,7,7,6,6,6,6,6,6,6,7,6,7,7,7,7,6,7,5,5,7,6,5,5,6
#NAME?,9,9,6,8,10,9,8,8,9,10,6,9,7,9,9,9,9,7,7,8,9,8,10,10
#NAME?,10,10,10,NA,10,10,10,10,10,10,NA,10,10,10,8,10,5,8,10,10,7,8,10,9
#NAME?,8,NA,NA,8,8,8,9,NA,9,9,NA,8,NA,8,9,9,9,6,NA,8,9,9,8,8
#NAME?,9,10,9,9,10,9,9,9,9,9,9,NA,9,9,9,8,9,9,9,10,10,10,9,10
